timestamp,demand_mw,solar_capacity_factor,wind_capacity_factor
2021-01-01 00:00:00,7913.213,0.0,0.455759
2021-01-01 01:00:00,7769.898,0.0,0.473184
2021-01-01 02:00:00,7673.698,0.0,0.487993
2021-01-01 03:00:00,7675.431,0.0,0.498718
2021-01-01 04:00:00,7797.531,0.0,0.504332
2021-01-01 05:00:00,8017.462,0.0,0.504392
2021-01-01 06:00:00,8275.352,0.0,0.4991
2021-01-01 07:00:00,8501.307,0.0,0.489283
2021-01-01 08:00:00,8645.177,0.001205,0.476286
2021-01-01 09:00:00,8692.811,0.113178,0.461797
2021-01-01 10:00:00,8663.623,0.266993,0.447632
2021-01-01 11:00:00,8595.423,0.389612,0.435493
2021-01-01 12:00:00,8527.939,0.435887,0.426751
2021-01-01 13:00:00,8494.357,0.389612,0.422274
2021-01-01 14:00:00,8521.539,0.266993,0.422315
2021-01-01 15:00:00,8629.516,0.113178,0.426496
2021-01-01 16:00:00,8819.515,0.001205,0.433866
2021-01-01 17:00:00,9054.464,0.0,0.44304
2021-01-01 18:00:00,9255.976,0.0,0.452404
2021-01-01 19:00:00,9338.539,0.0,0.460337
2021-01-01 20:00:00,9264.277,0.0,0.465445
2021-01-01 21:00:00,9069.972,0.0,0.466758
2021-01-01 22:00:00,8839.123,0.0,0.463867
2021-01-01 23:00:00,8646.303,0.0,0.456995
2021-01-02 00:00:00,7597.335,0.0,0.447398
2021-01-02 01:00:00,7452.735,0.0,0.435539
2021-01-02 02:00:00,7355.151,0.0,0.4235
2021-01-02 03:00:00,7355.403,0.0,0.413038
2021-01-02 04:00:00,7475.928,0.0,0.405781
2021-01-02 05:00:00,7694.189,0.0,0.403011
2021-01-02 06:00:00,7950.317,0.0,0.405487
2021-01-02 07:00:00,8174.418,0.0,0.413346
2021-01-02 08:00:00,8316.346,0.001496,0.426075
2021-01-02 09:00:00,8361.949,0.113108,0.442581
2021-01-02 10:00:00,8330.644,0.265441,0.46133
2021-01-02 11:00:00,8260.244,0.386721,0.480548
2021-01-02 12:00:00,8190.476,0.432469,0.498454
2021-01-02 13:00:00,8154.53,0.386721,0.513488
2021-01-02 14:00:00,8179.269,0.265441,0.524516
2021-01-02 15:00:00,8284.726,0.113108,0.530968
2021-01-02 16:00:00,8472.132,0.001496,0.532908
2021-01-02 17:00:00,8704.415,0.0,0.531008
2021-01-02 18:00:00,8903.19,0.0,0.526451
2021-01-02 19:00:00,8982.95,0.0,0.520754
2021-01-02 20:00:00,8905.819,0.0,0.515553
2021-01-02 21:00:00,8708.583,0.0,0.51237
2021-01-02 22:00:00,8474.742,0.0,0.512394
2021-01-02 23:00:00,8278.872,0.0,0.516308
2021-01-03 00:00:00,7662.696,0.0,0.524599
2021-01-03 01:00:00,7514.939,0.0,0.535897
2021-01-03 02:00:00,7414.147,0.0,0.549496
2021-01-03 03:00:00,7411.145,0.0,0.56386
2021-01-03 04:00:00,7528.371,0.0,0.577233
2021-01-03 05:00:00,7743.291,0.0,0.58787
2021-01-03 06:00:00,7996.039,0.0,0.594265
2021-01-03 07:00:00,8216.726,0.0,0.595359
2021-01-03 08:00:00,8355.204,0.001902,0.590671
2021-01-03 09:00:00,8397.329,0.117821,0.580372
2021-01-03 10:00:00,8362.518,0.27497,0.565255
2021-01-03 11:00:00,8288.588,0.39991,0.546638
2021-01-03 12:00:00,8215.268,0.447015,0.526183
2021-01-03 13:00:00,8175.752,0.39991,0.505683
2021-01-03 14:00:00,8196.907,0.27497,0.486822
2021-01-03 15:00:00,8298.766,0.117821,0.470959
2021-01-03 16:00:00,8482.566,0.001902,0.458952
2021-01-03 17:00:00,8711.236,0.0,0.45105
2021-01-03 18:00:00,8906.396,0.0,0.446875
2021-01-03 19:00:00,8982.54,0.0,0.445484
2021-01-03 20:00:00,8901.797,0.0,0.445505
2021-01-03 21:00:00,8700.954,0.0,0.445341
2021-01-03 22:00:00,8463.516,0.0,0.443394
2021-01-03 23:00:00,8264.062,0.0,0.438299
2021-01-04 00:00:00,8080.212,0.0,0.429505
2021-01-04 01:00:00,7928.903,0.0,0.415871
2021-01-04 02:00:00,7824.581,0.0,0.398046
2021-01-04 03:00:00,7818.073,0.0,0.376903
2021-01-04 04:00:00,7931.82,0.0,0.353819
2021-01-04 05:00:00,8143.291,0.0,0.330497
2021-01-04 06:00:00,8392.625,0.0,0.30875
2021-01-04 07:00:00,8609.931,0.0,0.290266
2021-01-04 08:00:00,8745.069,0.002405,0.276385
2021-01-04 09:00:00,8783.895,0.123908,0.267928
